driver_race,location,n_arrests,n_stops
Black drivers,06079,142.0,5243.0
Hispanic drivers,06079,1790.0,47779.0
White drivers,06081,2788.0,151706.0
Black drivers,06081,519.0,18035.0
Hispanic drivers,06081,2833.0,69032.0
White drivers,06085,3061.0,174447.0
Black drivers,06085,672.0,23627.0
Hispanic drivers,06085,5364.0,134840.0
White drivers,06087,4142.0,137506.0
Black drivers,06087,166.0,4437.0
Hispanic drivers,06087,2339.0,51613.0
White drivers,06089,4492.0,187464.0
Black drivers,06089,125.0,4604.0
Hispanic drivers,06089,556.0,22749.0
White drivers,06091,1809.0,99533.0
Black drivers,06091,101.0,6047.0
Hispanic drivers,06091,356.0,17683.0
White drivers,06095,2147.0,179981.0
Black drivers,06095,1418.0,58600.0
Hispanic drivers,06095,1444.0,84844.0
White drivers,06097,4794.0,194590.0
Black drivers,06097,322.0,9554.0
Hispanic drivers,06097,2518.0,54559.0
White drivers,06099,3188.0,97450.0
Black drivers,06099,476.0,10591.0
Hispanic drivers,06099,4518.0,82505.0
White drivers,06101,1932.0,77398.0
Black drivers,06101,163.0,6297.0
Hispanic drivers,06101,785.0,22214.0
White drivers,06103,1525.0,95255.0
Black drivers,06103,44.0,6197.0
Hispanic drivers,06103,426.0,35551.0
White drivers,06105,976.0,29698.0
Black drivers,06105,40.0,433.0
Hispanic drivers,06105,59.0,1058.0
White drivers,06107,2625.0,97580.0
Black drivers,06107,260.0,7295.0
Hispanic drivers,06107,9205.0,175151.0
White drivers,06109,2295.0,64972.0
Black drivers,06109,22.0,932.0
Hispanic drivers,06109,297.0,7702.0
White drivers,06113,856.0,56354.0
Black drivers,06113,211.0,8841.0
Hispanic drivers,06113,743.0,21363.0
White drivers,08001,1385.0,43678.0
Black drivers,08001,133.0,2341.0
Hispanic drivers,08001,1264.0,17728.0
White drivers,08003,266.0,7788.0
Black drivers,08003,18.0,193.0
Hispanic drivers,08003,234.0,4018.0
White drivers,08005,953.0,27062.0
Black drivers,08005,312.0,4637.0
Hispanic drivers,08005,368.0,4886.0
White drivers,08007,92.0,11916.0
Black drivers,08007,1.0,72.0
Hispanic drivers,08007,25.0,1085.0
White drivers,08009,52.0,3467.0
Black drivers,08009,7.0,256.0
Hispanic drivers,08009,18.0,802.0
White drivers,08011,39.0,2238.0
Black drivers,08011,2.0,73.0
Hispanic drivers,08011,21.0,680.0
White drivers,08013,481.0,31235.0
Black drivers,08013,14.0,634.0
Hispanic drivers,08013,109.0,3378.0
White drivers,08014,26.0,1841.0
Black drivers,08014,0.0,47.0
Hispanic drivers,08014,5.0,247.0
White drivers,08015,190.0,14480.0
Black drivers,08015,2.0,127.0
Hispanic drivers,08015,19.0,913.0
White drivers,08017,15.0,1352.0
Black drivers,08017,0.0,67.0
Hispanic drivers,08017,21.0,280.0
White drivers,08019,447.0,19657.0
Black drivers,08019,18.0,510.0
Hispanic drivers,08019,136.0,1987.0
White drivers,08021,85.0,3836.0
Black drivers,08021,0.0,44.0
Hispanic drivers,08021,111.0,2806.0
White drivers,08023,38.0,3999.0
Black drivers,08023,1.0,85.0
Hispanic drivers,08023,78.0,1723.0
White drivers,08025,26.0,1257.0
Black drivers,08025,1.0,24.0
Hispanic drivers,08025,13.0,321.0
White drivers,08029,348.0,13191.0
Black drivers,08029,3.0,101.0
Hispanic drivers,08029,60.0,1574.0
White drivers,08031,153.0,995.0
Black drivers,08031,24.0,155.0
Hispanic drivers,08031,48.0,517.0
White drivers,08033,7.0,1356.0
Black drivers,08033,0.0,23.0
Hispanic drivers,08033,2.0,119.0
White drivers,08035,521.0,30042.0
Black drivers,08035,58.0,1670.0
Hispanic drivers,08035,110.0,3431.0
White drivers,08037,562.0,28868.0
Black drivers,08037,9.0,736.0
Hispanic drivers,08037,270.0,6525.0
White drivers,08039,46.0,4149.0
Black drivers,08039,5.0,307.0
Hispanic drivers,08039,16.0,401.0
White drivers,08041,1951.0,68840.0
Black drivers,08041,403.0,7521.0
Hispanic drivers,08041,396.0,7244.0
White drivers,08043,237.0,14186.0
Black drivers,08043,7.0,296.0
Hispanic drivers,08043,17.0,1125.0
White drivers,08045,432.0,24926.0
Black drivers,08045,10.0,489.0
Hispanic drivers,08045,239.0,6299.0
White drivers,08047,153.0,4200.0
Black drivers,08047,13.0,272.0
Hispanic drivers,08047,90.0,1016.0
White drivers,08049,154.0,12420.0
Black drivers,08049,3.0,145.0
Hispanic drivers,08049,27.0,781.0
White drivers,08051,104.0,11408.0
Black drivers,08051,4.0,83.0
Hispanic drivers,08051,13.0,450.0
White drivers,08055,112.0,7339.0
Black drivers,08055,7.0,313.0
Hispanic drivers,08055,91.0,2703.0
White drivers,08057,10.0,1681.0
Black drivers,08057,0.0,23.0
Hispanic drivers,08057,0.0,137.0
White drivers,08059,1528.0,68730.0
Black drivers,08059,76.0,2037.0
Hispanic drivers,08059,393.0,7391.0
White drivers,08061,18.0,2765.0
Black drivers,08061,3.0,191.0
Hispanic drivers,08061,13.0,677.0
White drivers,08063,43.0,5772.0
Black drivers,08063,13.0,440.0
Hispanic drivers,08063,17.0,736.0
White drivers,08065,46.0,1894.0
Black drivers,08065,0.0,19.0
Hispanic drivers,08065,33.0,507.0
White drivers,08067,374.0,23732.0
Black drivers,08067,6.0,194.0
Hispanic drivers,08067,66.0,2116.0
White drivers,08069,732.0,34973.0
Black drivers,08069,25.0,942.0
Hispanic drivers,08069,199.0,3932.0
White drivers,08071,230.0,11327.0
Black drivers,08071,21.0,447.0
Hispanic drivers,08071,219.0,4018.0
White drivers,08073,73.0,7031.0
Black drivers,08073,15.0,591.0
Hispanic drivers,08073,111.0,1011.0
White drivers,08075,103.0,16066.0
Black drivers,08075,11.0,772.0
Hispanic drivers,08075,26.0,1662.0
White drivers,08077,1093.0,44072.0
Black drivers,08077,21.0,694.0
Hispanic drivers,08077,345.0,5091.0
White drivers,08079,31.0,7925.0
Black drivers,08079,3.0,160.0
Hispanic drivers,08079,4.0,575.0
White drivers,08081,126.0,8984.0
Black drivers,08081,1.0,49.0
Hispanic drivers,08081,15.0,547.0
White drivers,08083,123.0,8024.0
Black drivers,08083,9.0,133.0
Hispanic drivers,08083,19.0,956.0
White drivers,08085,263.0,14956.0
Black drivers,08085,4.0,102.0
Hispanic drivers,08085,80.0,2173.0
White drivers,08087,186.0,13273.0
Black drivers,08087,15.0,797.0
Hispanic drivers,08087,100.0,3202.0
White drivers,08089,159.0,8240.0
Black drivers,08089,6.0,245.0
Hispanic drivers,08089,226.0,3782.0
White drivers,08091,64.0,5215.0
Black drivers,08091,0.0,25.0
Hispanic drivers,08091,14.0,389.0
White drivers,08093,161.0,16934.0
Black drivers,08093,5.0,187.0
Hispanic drivers,08093,9.0,504.0
White drivers,08095,1.0,676.0
Black drivers,08095,0.0,5.0
Hispanic drivers,08095,4.0,137.0
White drivers,08097,48.0,1796.0
Black drivers,08097,0.0,21.0
Hispanic drivers,08097,6.0,372.0
White drivers,08099,92.0,9493.0
Black drivers,08099,6.0,528.0
Hispanic drivers,08099,81.0,2818.0
White drivers,08101,508.0,24983.0
Black drivers,08101,36.0,1008.0
Hispanic drivers,08101,391.0,8550.0
White drivers,08103,91.0,5858.0
Black drivers,08103,2.0,46.0
Hispanic drivers,08103,9.0,345.0
White drivers,08105,106.0,8746.0
Black drivers,08105,7.0,135.0
Hispanic drivers,08105,117.0,2911.0
White drivers,08107,309.0,15324.0
Black drivers,08107,5.0,165.0
Hispanic drivers,08107,32.0,884.0
White drivers,08109,33.0,3633.0
Black drivers,08109,0.0,57.0
Hispanic drivers,08109,12.0,617.0
White drivers,08113,26.0,1538.0
Black drivers,08113,0.0,10.0
Hispanic drivers,08113,2.0,118.0
White drivers,08115,3.0,1502.0
Black drivers,08115,1.0,54.0
Hispanic drivers,08115,0.0,155.0
White drivers,08117,248.0,14971.0
Black drivers,08117,9.0,517.0
Hispanic drivers,08117,82.0,1726.0
White drivers,08119,171.0,6271.0
Black drivers,08119,6.0,191.0
Hispanic drivers,08119,23.0,426.0
White drivers,08121,60.0,6232.0
Black drivers,08121,0.0,125.0
Hispanic drivers,08121,18.0,789.0
White drivers,08123,882.0,34556.0
Black drivers,08123,63.0,1343.0
Hispanic drivers,08123,471.0,8327.0
White drivers,08125,43.0,4441.0
Black drivers,08125,0.0,34.0
Hispanic drivers,08125,30.0,607.0
White drivers,09001,524.0,25978.0
Black drivers,09001,168.0,7434.0
Hispanic drivers,09001,285.0,6968.0
White drivers,09003,545.0,25876.0
Black drivers,09003,232.0,7568.0
Hispanic drivers,09003,190.0,4819.0
White drivers,09005,524.0,23650.0
Black drivers,09005,19.0,1254.0
Hispanic drivers,09005,62.0,1656.0
White drivers,09007,424.0,29876.0
Black drivers,09007,73.0,3533.0
Hispanic drivers,09007,76.0,2672.0
White drivers,09009,703.0,33046.0
Black drivers,09009,209.0,8325.0
Hispanic drivers,09009,266.0,6921.0
White drivers,09011,1065.0,36915.0
Black drivers,09011,116.0,4464.0
Hispanic drivers,09011,127.0,3233.0
White drivers,09013,724.0,38069.0
Black drivers,09013,69.0,3100.0
Hispanic drivers,09013,88.0,2593.0
White drivers,09015,550.0,24617.0
Black drivers,09015,34.0,1202.0
Hispanic drivers,09015,124.0,1876.0
White drivers,12001,771.0,39586.0
Black drivers,12001,786.0,15825.0
Hispanic drivers,12001,317.0,5715.0
White drivers,12003,309.0,13647.0
Black drivers,12003,175.0,4974.0
Hispanic drivers,12003,39.0,808.0
White drivers,12005,2008.0,55650.0
Black drivers,12005,614.0,10489.0
Hispanic drivers,12005,225.0,1856.0
White drivers,12007,86.0,4124.0
Black drivers,12007,40.0,1045.0
Hispanic drivers,12007,11.0,279.0
White drivers,12009,935.0,31067.0
Black drivers,12009,310.0,7113.0
Hispanic drivers,12009,229.0,5937.0
White drivers,12011,2648.0,106250.0
Black drivers,12011,3917.0,67920.0
Hispanic drivers,12011,3687.0,84287.0
White drivers,12013,64.0,3822.0
Black drivers,12013,29.0,729.0
Hispanic drivers,12013,17.0,150.0
White drivers,12015,315.0,19296.0
Black drivers,12015,126.0,3048.0
Hispanic drivers,12015,190.0,5007.0
White drivers,12017,263.0,15890.0
Black drivers,12017,31.0,733.0
Hispanic drivers,12017,29.0,645.0
White drivers,12019,484.0,12858.0
Black drivers,12019,194.0,2601.0
Hispanic drivers,12019,75.0,1253.0
White drivers,12021,924.0,45075.0
Black drivers,12021,510.0,13829.0
Hispanic drivers,12021,1134.0,30412.0
White drivers,12023,639.0,32933.0
Black drivers,12023,543.0,13256.0
Hispanic drivers,12023,310.0,4416.0
White drivers,12027,202.0,16861.0
Black drivers,12027,105.0,2921.0
Hispanic drivers,12027,420.0,3896.0
White drivers,12029,242.0,13891.0
Black drivers,12029,37.0,1366.0
Hispanic drivers,12029,19.0,495.0
White drivers,12031,3437.0,76547.0
Black drivers,12031,4334.0,39386.0
Hispanic drivers,12031,837.0,8915.0
White drivers,12033,2438.0,46707.0
Black drivers,12033,1700.0,15548.0
Hispanic drivers,12033,333.0,2197.0
White drivers,12035,177.0,10629.0
Black drivers,12035,118.0,3531.0
Hispanic drivers,12035,87.0,2079.0
White drivers,12037,182.0,6949.0
Black drivers,12037,33.0,694.0
Hispanic drivers,12037,19.0,148.0
White drivers,12039,416.0,30694.0
Black drivers,12039,1019.0,22819.0
Hispanic drivers,12039,632.0,5330.0
White drivers,12041,76.0,3309.0
Black drivers,12041,8.0,228.0
Hispanic drivers,12041,19.0,132.0
White drivers,12043,50.0,3700.0
Black drivers,12043,38.0,1020.0
Hispanic drivers,12043,93.0,2206.0
White drivers,12045,31.0,1902.0
Black drivers,12045,12.0,256.0
Hispanic drivers,12045,2.0,23.0
White drivers,12047,149.0,12172.0
Black drivers,12047,170.0,6240.0
Hispanic drivers,12047,94.0,1864.0
White drivers,12049,49.0,7327.0
Black drivers,12049,25.0,1108.0
Hispanic drivers,12049,313.0,2717.0
White drivers,12051,158.0,9758.0
Black drivers,12051,86.0,2482.0
Hispanic drivers,12051,401.0,6694.0
White drivers,12053,1059.0,46070.0
Black drivers,12053,180.0,3623.0
Hispanic drivers,12053,176.0,4325.0
White drivers,12055,250.0,22346.0
Black drivers,12055,129.0,4905.0
Hispanic drivers,12055,277.0,8002.0
White drivers,12057,1956.0,80261.0
Black drivers,12057,1052.0,21182.0
Hispanic drivers,12057,1701.0,25841.0
White drivers,12059,261.0,11700.0
Black drivers,12059,109.0,2984.0
Hispanic drivers,12059,89.0,1343.0
White drivers,12061,203.0,22421.0
Black drivers,12061,208.0,6867.0
Hispanic drivers,12061,169.0,6984.0
White drivers,12063,295.0,17359.0
Black drivers,12063,211.0,5943.0
Hispanic drivers,12063,137.0,1818.0
White drivers,12065,194.0,13373.0
Black drivers,12065,206.0,6271.0
Hispanic drivers,12065,98.0,1533.0
White drivers,12067,35.0,2526.0
Black drivers,12067,11.0,467.0
Hispanic drivers,12067,45.0,265.0
White drivers,12069,841.0,49486.0
Black drivers,12069,398.0,11537.0
Hispanic drivers,12069,530.0,11799.0
White drivers,12071,1619.0,53783.0
Black drivers,12071,480.0,10031.0
Hispanic drivers,12071,1335.0,19536.0
White drivers,12073,1686.0,63337.0
Black drivers,12073,2109.0,36172.0
Hispanic drivers,12073,505.0,6073.0
White drivers,12075,179.0,11817.0
Black drivers,12075,54.0,1734.0
Hispanic drivers,12075,72.0,801.0
White drivers,12077,63.0,3990.0
Black drivers,12077,25.0,1103.0
Hispanic drivers,12077,38.0,230.0
White drivers,12079,366.0,19200.0
Black drivers,12079,461.0,10321.0
Hispanic drivers,12079,207.0,4104.0
White drivers,12081,841.0,33965.0
Black drivers,12081,483.0,7299.0
Hispanic drivers,12081,1216.0,8368.0
White drivers,12083,560.0,37436.0
Black drivers,12083,296.0,11024.0
Hispanic drivers,12083,239.0,7238.0
White drivers,12085,599.0,36163.0
Black drivers,12085,382.0,14096.0
Hispanic drivers,12085,494.0,15926.0
White drivers,12086,1474.0,51045.0
Black drivers,12086,4686.0,55388.0
Hispanic drivers,12086,10622.0,228292.0
White drivers,12087,460.0,35315.0
Black drivers,12087,134.0,4082.0
Hispanic drivers,12087,327.0,14799.0
White drivers,12089,809.0,14612.0
Black drivers,12089,223.0,3793.0
Hispanic drivers,12089,111.0,1459.0
White drivers,12091,759.0,35922.0
Black drivers,12091,238.0,5870.0
Hispanic drivers,12091,203.0,2450.0
White drivers,12093,123.0,6294.0
Black drivers,12093,63.0,1677.0
Hispanic drivers,12093,170.0,2967.0
White drivers,12095,2582.0,133298.0
Black drivers,12095,1923.0,49912.0
Hispanic drivers,12095,2669.0,68613.0
White drivers,12097,448.0,50663.0
Black drivers,12097,418.0,17390.0
Hispanic drivers,12097,824.0,41975.0
White drivers,12099,4061.0,149525.0
Black drivers,12099,4232.0,70484.0
Hispanic drivers,12099,4477.0,70312.0
White drivers,12101,1903.0,41228.0
Black drivers,12101,235.0,4447.0
Hispanic drivers,12101,411.0,6701.0
White drivers,12103,914.0,44932.0
Black drivers,12103,523.0,9064.0
Hispanic drivers,12103,314.0,5988.0
White drivers,12105,1147.0,72514.0
Black drivers,12105,669.0,17656.0
Hispanic drivers,12105,989.0,18377.0
White drivers,12107,391.0,16920.0
Black drivers,12107,275.0,4356.0
Hispanic drivers,12107,109.0,1241.0
White drivers,12109,513.0,23951.0
Black drivers,12109,355.0,6876.0
Hispanic drivers,12109,154.0,3449.0
White drivers,12111,1121.0,73922.0
Black drivers,12111,982.0,29620.0
Hispanic drivers,12111,1019.0,37992.0
White drivers,12113,1086.0,37451.0
Black drivers,12113,203.0,4277.0
Hispanic drivers,12113,155.0,1592.0
White drivers,12115,814.0,40172.0
Black drivers,12115,203.0,4930.0
Hispanic drivers,12115,662.0,7343.0
White drivers,12117,409.0,29127.0
Black drivers,12117,246.0,6727.0
Hispanic drivers,12117,264.0,8172.0
White drivers,12119,337.0,20806.0
Black drivers,12119,181.0,4927.0
Hispanic drivers,12119,241.0,3845.0
White drivers,12121,268.0,11903.0
Black drivers,12121,198.0,4964.0
Hispanic drivers,12121,172.0,1762.0
White drivers,12123,235.0,11370.0
Black drivers,12123,77.0,2027.0
Hispanic drivers,12123,27.0,514.0
White drivers,12125,101.0,4087.0
Black drivers,12125,45.0,926.0
Hispanic drivers,12125,12.0,154.0
White drivers,12127,996.0,37952.0
Black drivers,12127,511.0,9258.0
Hispanic drivers,12127,481.0,7126.0
White drivers,12129,500.0,20202.0
Black drivers,12129,126.0,2997.0
Hispanic drivers,12129,27.0,452.0
White drivers,12131,214.0,10506.0
Black drivers,12131,49.0,1198.0
Hispanic drivers,12131,121.0,643.0
White drivers,12133,171.0,9913.0
Black drivers,12133,88.0,2360.0
Hispanic drivers,12133,53.0,1076.0
White drivers,25001,1218.0,46193.0
Black drivers,25001,126.0,3073.0
Hispanic drivers,25001,50.0,1151.0
White drivers,25003,934.0,56710.0
Black drivers,25003,128.0,3603.0
Hispanic drivers,25003,77.0,1977.0
White drivers,25005,3341.0,77480.0
Black drivers,25005,715.0,11488.0
Hispanic drivers,25005,848.0,8737.0
White drivers,25007,22.0,1192.0
Black drivers,25007,0.0,86.0
Hispanic drivers,25007,1.0,20.0
White drivers,25009,3422.0,118518.0
Black drivers,25009,503.0,9811.0
Hispanic drivers,25009,2221.0,20601.0
White drivers,25011,597.0,44756.0
Black drivers,25011,66.0,2013.0
Hispanic drivers,25011,68.0,2219.0
White drivers,25013,2583.0,143170.0
Black drivers,25013,811.0,22387.0
Hispanic drivers,25013,2019.0,38410.0
White drivers,25015,500.0,35461.0
Black drivers,25015,50.0,2114.0
Hispanic drivers,25015,99.0,2538.0
White drivers,25017,4555.0,221972.0
Black drivers,25017,839.0,27932.0
Hispanic drivers,25017,1451.0,28323.0
White drivers,25019,60.0,2106.0
Black drivers,25019,10.0,271.0
Hispanic drivers,25019,46.0,361.0
White drivers,25021,1727.0,93853.0
Black drivers,25021,594.0,25831.0
Hispanic drivers,25021,437.0,11696.0
White drivers,25023,2131.0,69245.0
Black drivers,25023,584.0,10610.0
Hispanic drivers,25023,312.0,4379.0
White drivers,25025,2656.0,190623.0
Black drivers,25025,1049.0,50349.0
Hispanic drivers,25025,1457.0,34247.0
White drivers,25027,5507.0,277276.0
Black drivers,25027,1113.0,30979.0
Hispanic drivers,25027,1942.0,36999.0
White drivers,30001,9.0,4626.0
Black drivers,30001,0.0,67.0
Hispanic drivers,30001,1.0,109.0
White drivers,30003,3.0,5389.0
Black drivers,30003,0.0,175.0
Hispanic drivers,30003,0.0,253.0
White drivers,30005,22.0,3717.0
Black drivers,30005,2.0,54.0
Hispanic drivers,30005,0.0,42.0
White drivers,30007,11.0,7910.0
Black drivers,30007,0.0,63.0
Hispanic drivers,30007,0.0,75.0
White drivers,30009,48.0,4822.0
Black drivers,30009,0.0,38.0
Hispanic drivers,30009,42.0,1011.0
White drivers,30013,48.0,37848.0
Black drivers,30013,2.0,682.0
Hispanic drivers,30013,2.0,513.0
White drivers,30015,7.0,5932.0
Black drivers,30015,0.0,54.0
Hispanic drivers,30015,0.0,81.0
White drivers,30017,117.0,18272.0
Black drivers,30017,1.0,299.0
Hispanic drivers,30017,3.0,630.0
White drivers,30019,0.0,1156.0
Black drivers,30019,0.0,9.0
Hispanic drivers,30019,0.0,7.0
White drivers,30021,28.0,15071.0
Black drivers,30021,4.0,306.0
Hispanic drivers,30021,3.0,791.0
White drivers,30023,1358.0,13652.0
Black drivers,30023,21.0,193.0
Hispanic drivers,30023,19.0,205.0
White drivers,30025,0.0,647.0
Black drivers,30025,0.0,1.0
Hispanic drivers,30025,0.0,26.0
White drivers,30027,18.0,4881.0
Black drivers,30027,0.0,41.0
Hispanic drivers,30027,1.0,56.0
White drivers,30029,1223.0,47444.0
Black drivers,30029,4.0,130.0
Hispanic drivers,30029,5.0,335.0
White drivers,30031,165.0,44375.0
Black drivers,30031,1.0,397.0
Hispanic drivers,30031,3.0,763.0
White drivers,30033,1.0,1354.0
Black drivers,30033,0.0,18.0
Hispanic drivers,30033,0.0,6.0
White drivers,30035,587.0,4822.0
Black drivers,30035,3.0,22.0
Hispanic drivers,30035,1.0,48.0
White drivers,30037,3.0,918.0
Black drivers,30037,0.0,10.0
Hispanic drivers,30037,0.0,19.0
White drivers,30039,257.0,3371.0
Black drivers,30039,1.0,40.0
Hispanic drivers,30039,5.0,69.0
White drivers,30041,46.0,10901.0
Black drivers,30041,2.0,117.0
Hispanic drivers,30041,1.0,113.0
White drivers,30043,49.0,10167.0
Black drivers,30043,0.0,125.0
Hispanic drivers,30043,0.0,156.0
White drivers,30045,17.0,3871.0
Black drivers,30045,0.0,60.0
Hispanic drivers,30045,0.0,53.0
White drivers,30047,202.0,14264.0
Black drivers,30047,3.0,96.0
Hispanic drivers,30047,4.0,147.0
White drivers,30049,122.0,26113.0
Black drivers,30049,0.0,161.0
Hispanic drivers,30049,3.0,303.0
White drivers,30051,2.0,1342.0
Black drivers,30051,0.0,9.0
Hispanic drivers,30051,0.0,19.0
White drivers,30053,90.0,12061.0
Black drivers,30053,1.0,46.0
Hispanic drivers,30053,1.0,116.0
White drivers,30055,0.0,698.0
Black drivers,30055,0.0,9.0
Hispanic drivers,30055,0.0,13.0
White drivers,30057,7.0,4020.0
Black drivers,30057,0.0,24.0
Hispanic drivers,30057,0.0,101.0
White drivers,30059,0.0,1071.0
Black drivers,30059,0.0,2.0
Hispanic drivers,30059,0.0,3.0
White drivers,30061,84.0,10837.0
Black drivers,30061,2.0,250.0
Hispanic drivers,30061,6.0,271.0
White drivers,30063,628.0,36315.0
Black drivers,30063,8.0,356.0
Hispanic drivers,30063,15.0,492.0
