driver_race,location,n_stops,county_population
White drivers,08013,9663.0,205411.0
Black drivers,08014,11.0,550.0
Hispanic drivers,08014,57.0,4992.0
White drivers,08014,424.0,38075.0
Black drivers,08015,51.0,272.0
Hispanic drivers,08015,323.0,1514.0
White drivers,08015,5135.0,13578.0
Black drivers,08017,19.0,8.0
Hispanic drivers,08017,82.0,150.0
White drivers,08017,397.0,1261.0
Black drivers,08019,175.0,54.0
Hispanic drivers,08019,567.0,391.0
White drivers,08019,5935.0,7205.0
Black drivers,08021,18.0,13.0
Hispanic drivers,08021,963.0,3470.0
White drivers,08021,1228.0,2649.0
Black drivers,08023,39.0,12.0
Hispanic drivers,08023,639.0,1853.0
White drivers,08023,1433.0,1020.0
Black drivers,08025,9.0,525.0
Hispanic drivers,08025,106.0,1442.0
White drivers,08025,430.0,2739.0
Black drivers,08027,2.0,39.0
Hispanic drivers,08027,6.0,193.0
White drivers,08027,87.0,3443.0
Black drivers,08029,40.0,151.0
Hispanic drivers,08029,614.0,3084.0
White drivers,08029,4979.0,20818.0
Black drivers,08031,54.0,48284.0
Hispanic drivers,08031,146.0,140594.0
White drivers,08031,320.0,304584.0
Black drivers,08033,8.0,4.0
Hispanic drivers,08033,42.0,64.0
White drivers,08033,432.0,1484.0
Black drivers,08035,537.0,2834.0
Hispanic drivers,08035,1088.0,16935.0
White drivers,08035,9406.0,195992.0
Black drivers,08037,283.0,290.0
Hispanic drivers,08037,1984.0,10825.0
White drivers,08037,8868.0,29522.0
Black drivers,08039,104.0,131.0
Hispanic drivers,08039,143.0,1039.0
White drivers,08039,1424.0,17536.0
Black drivers,08041,2389.0,30433.0
Hispanic drivers,08041,2368.0,70079.0
White drivers,08041,21885.0,374478.0
Black drivers,08043,94.0,1768.0
Hispanic drivers,08043,342.0,5035.0
White drivers,08043,4354.0,31831.0
Black drivers,08045,164.0,224.0
Hispanic drivers,08045,1961.0,10452.0
White drivers,08045,7603.0,32007.0
Black drivers,08047,76.0,38.0
Hispanic drivers,08047,278.0,260.0
White drivers,08047,1212.0,4276.0
Black drivers,08049,46.0,52.0
Hispanic drivers,08049,231.0,759.0
White drivers,08049,3875.0,10913.0
Black drivers,08051,33.0,64.0
Hispanic drivers,08051,168.0,969.0
White drivers,08051,3849.0,11641.0
Black drivers,08055,143.0,29.0
Hispanic drivers,08055,1071.0,1772.0
White drivers,08055,2804.0,3611.0
Hispanic drivers,08057,32.0,113.0
White drivers,08057,405.0,1021.0
Black drivers,08059,652.0,4447.0
Hispanic drivers,08059,2371.0,59171.0
White drivers,08059,22096.0,365564.0
Black drivers,08061,67.0,5.0
Hispanic drivers,08061,222.0,60.0
White drivers,08061,950.0,1082.0
Black drivers,08063,143.0,153.0
Hispanic drivers,08063,208.0,1010.0
White drivers,08063,1724.0,5073.0
Black drivers,08065,7.0,21.0
Hispanic drivers,08065,178.0,1892.0
White drivers,08065,633.0,3745.0
Black drivers,08067,68.0,178.0
Hispanic drivers,08067,689.0,4698.0
White drivers,08067,7685.0,35740.0
Black drivers,08069,360.0,2191.0
Hispanic drivers,08069,1560.0,23865.0
White drivers,08069,13613.0,222513.0
Black drivers,08071,186.0,181.0
Hispanic drivers,08071,1463.0,4745.0
White drivers,08071,4400.0,6694.0
Black drivers,08073,185.0,270.0
Hispanic drivers,08073,288.0,599.0
White drivers,08073,2099.0,3528.0
Black drivers,08075,254.0,702.0
Hispanic drivers,08075,568.0,2539.0
White drivers,08075,4890.0,14436.0
Black drivers,08077,258.0,743.0
Hispanic drivers,08077,1607.0,13998.0
White drivers,08077,14214.0,99679.0
Black drivers,08081,17.0,36.0
Hispanic drivers,08081,202.0,1249.0
White drivers,08081,3049.0,8510.0
Black drivers,08083,50.0,55.0
Hispanic drivers,08083,301.0,2096.0
White drivers,08083,2744.0,15829.0
Black drivers,08085,40.0,117.0
Hispanic drivers,08085,761.0,5464.0
White drivers,08085,5207.0,26190.0
Black drivers,08087,266.0,511.0
Hispanic drivers,08087,1117.0,6566.0
White drivers,08087,4285.0,14134.0
Black drivers,08089,80.0,104.0
Hispanic drivers,08089,1220.0,5493.0
White drivers,08089,2817.0,8579.0
Black drivers,08091,12.0,4.0
Hispanic drivers,08091,149.0,175.0
White drivers,08091,2125.0,3641.0
Black drivers,08093,73.0,72.0
Hispanic drivers,08093,180.0,676.0
White drivers,08093,6161.0,12608.0
Black drivers,08095,1.0,13.0
Hispanic drivers,08095,47.0,563.0
White drivers,08095,212.0,2791.0
Black drivers,08097,6.0,91.0
Hispanic drivers,08097,128.0,1286.0
White drivers,08097,584.0,13120.0
Black drivers,08099,181.0,58.0
Hispanic drivers,08099,899.0,2933.0
White drivers,08099,2992.0,6195.0
Black drivers,08101,371.0,2331.0
Hispanic drivers,08101,3193.0,49684.0
White drivers,08101,8639.0,72555.0
Black drivers,08103,17.0,59.0
Hispanic drivers,08103,116.0,507.0
White drivers,08103,1802.0,4481.0
Black drivers,08105,46.0,31.0
Hispanic drivers,08105,968.0,3784.0
White drivers,08105,2833.0,5206.0
Black drivers,08107,54.0,99.0
Hispanic drivers,08107,286.0,1135.0
White drivers,08107,4921.0,17893.0
Black drivers,08109,21.0,16.0
Hispanic drivers,08109,230.0,1724.0
White drivers,08109,1302.0,3036.0
Black drivers,08113,4.0,27.0
Hispanic drivers,08113,43.0,526.0
White drivers,08113,561.0,5642.0
Black drivers,08115,23.0,9.0
Hispanic drivers,08115,48.0,254.0
White drivers,08115,449.0,1652.0
Black drivers,08117,200.0,204.0
Hispanic drivers,08117,644.0,2964.0
White drivers,08117,5359.0,20904.0
