driver_race,location,n_hits,n_searches
Hispanic drivers,45035,38.0,178.0
White drivers,45037,106.0,294.0
Black drivers,45037,114.0,398.0
Hispanic drivers,45037,13.0,68.0
White drivers,45039,56.0,249.0
Black drivers,45039,63.0,386.0
Hispanic drivers,45039,1.0,43.0
White drivers,45041,508.0,2157.0
Black drivers,45041,557.0,2186.0
Hispanic drivers,45041,13.0,192.0
White drivers,45043,158.0,989.0
Black drivers,45043,122.0,511.0
Hispanic drivers,45043,13.0,71.0
White drivers,45045,674.0,2613.0
Black drivers,45045,473.0,1661.0
Hispanic drivers,45045,158.0,812.0
White drivers,45047,317.0,1156.0
Black drivers,45047,383.0,1110.0
Hispanic drivers,45047,32.0,160.0
White drivers,45049,85.0,290.0
Black drivers,45049,130.0,450.0
Hispanic drivers,45049,0.0,17.0
White drivers,45051,629.0,5257.0
Black drivers,45051,398.0,1622.0
Hispanic drivers,45051,49.0,1251.0
White drivers,45053,92.0,377.0
Black drivers,45053,90.0,320.0
Hispanic drivers,45053,35.0,283.0
White drivers,45055,219.0,665.0
Black drivers,45055,202.0,566.0
Hispanic drivers,45055,20.0,104.0
White drivers,45057,225.0,1129.0
Black drivers,45057,85.0,605.0
Hispanic drivers,45057,9.0,110.0
White drivers,45059,227.0,734.0
Black drivers,45059,218.0,648.0
Hispanic drivers,45059,19.0,193.0
White drivers,45063,909.0,2422.0
Black drivers,45063,533.0,1416.0
Hispanic drivers,45063,100.0,398.0
White drivers,45067,27.0,294.0
Black drivers,45067,30.0,416.0
Hispanic drivers,45067,4.0,56.0
White drivers,45069,2.0,243.0
Black drivers,45069,4.0,337.0
Hispanic drivers,45069,0.0,5.0
White drivers,45071,141.0,579.0
Black drivers,45071,161.0,576.0
Hispanic drivers,45071,19.0,139.0
White drivers,45073,40.0,429.0
Black drivers,45073,14.0,60.0
Hispanic drivers,45073,3.0,41.0
White drivers,45075,322.0,884.0
Black drivers,45075,733.0,2347.0
Hispanic drivers,45075,43.0,149.0
White drivers,45077,141.0,680.0
Black drivers,45077,37.0,129.0
Hispanic drivers,45077,4.0,56.0
White drivers,45079,392.0,1698.0
Black drivers,45079,860.0,3047.0
Hispanic drivers,45079,87.0,538.0
White drivers,45081,121.0,428.0
Black drivers,45081,81.0,325.0
Hispanic drivers,45081,37.0,249.0
White drivers,45083,281.0,1450.0
Black drivers,45083,176.0,726.0
Hispanic drivers,45083,56.0,325.0
White drivers,45085,225.0,913.0
Black drivers,45085,465.0,2260.0
Hispanic drivers,45085,35.0,208.0
White drivers,45089,22.0,285.0
Black drivers,45089,106.0,990.0
Hispanic drivers,45089,0.0,12.0
White drivers,45091,244.0,2337.0
Black drivers,45091,109.0,1034.0
Hispanic drivers,45091,15.0,239.0
White drivers,48001,153.0,417.0
Black drivers,48001,73.0,160.0
Hispanic drivers,48001,41.0,107.0
White drivers,48005,218.0,456.0
Black drivers,48005,65.0,170.0
Hispanic drivers,48005,59.0,133.0
White drivers,48009,161.0,335.0
Black drivers,48009,27.0,53.0
Hispanic drivers,48009,45.0,126.0
White drivers,48013,67.0,187.0
Black drivers,48013,5.0,15.0
Hispanic drivers,48013,177.0,587.0
White drivers,48015,155.0,265.0
Black drivers,48015,72.0,159.0
Hispanic drivers,48015,141.0,311.0
White drivers,48021,327.0,788.0
Black drivers,48021,101.0,250.0
Hispanic drivers,48021,178.0,511.0
White drivers,48027,341.0,947.0
Black drivers,48027,189.0,504.0
Hispanic drivers,48027,129.0,539.0
White drivers,48029,148.0,374.0
Black drivers,48029,43.0,110.0
Hispanic drivers,48029,369.0,1051.0
White drivers,48037,673.0,2433.0
Black drivers,48037,206.0,712.0
Hispanic drivers,48037,59.0,359.0
White drivers,48039,668.0,1421.0
Black drivers,48039,301.0,634.0
Hispanic drivers,48039,385.0,882.0
White drivers,48041,489.0,905.0
Black drivers,48041,200.0,422.0
Hispanic drivers,48041,195.0,398.0
White drivers,48047,7.0,57.0
Black drivers,48047,2.0,21.0
Hispanic drivers,48047,65.0,809.0
White drivers,48049,231.0,452.0
Black drivers,48049,23.0,53.0
Hispanic drivers,48049,75.0,170.0
White drivers,48051,206.0,480.0
Black drivers,48051,64.0,155.0
Hispanic drivers,48051,58.0,176.0
White drivers,48053,360.0,760.0
Black drivers,48053,10.0,33.0
Hispanic drivers,48053,78.0,204.0
White drivers,48061,23.0,95.0
Black drivers,48061,7.0,21.0
Hispanic drivers,48061,189.0,901.0
White drivers,48065,686.0,993.0
Black drivers,48065,143.0,240.0
Hispanic drivers,48065,319.0,594.0
White drivers,48067,198.0,630.0
Black drivers,48067,75.0,261.0
Hispanic drivers,48067,26.0,163.0
White drivers,48071,288.0,747.0
Black drivers,48071,617.0,1687.0
Hispanic drivers,48071,128.0,535.0
White drivers,48073,225.0,534.0
Black drivers,48073,75.0,169.0
Hispanic drivers,48073,40.0,123.0
White drivers,48077,292.0,566.0
Black drivers,48077,108.0,235.0
Hispanic drivers,48077,97.0,302.0
White drivers,48085,228.0,576.0
Black drivers,48085,89.0,251.0
Hispanic drivers,48085,62.0,215.0
White drivers,48089,190.0,266.0
Black drivers,48089,104.0,163.0
Hispanic drivers,48089,93.0,255.0
White drivers,48091,155.0,332.0
Black drivers,48091,18.0,55.0
Hispanic drivers,48091,133.0,319.0
White drivers,48097,185.0,338.0
Black drivers,48097,62.0,112.0
Hispanic drivers,48097,63.0,132.0
White drivers,48113,272.0,575.0
Black drivers,48113,195.0,510.0
Hispanic drivers,48113,133.0,300.0
White drivers,48121,690.0,1579.0
Black drivers,48121,281.0,589.0
Hispanic drivers,48121,242.0,663.0
White drivers,48133,319.0,588.0
Black drivers,48133,92.0,199.0
Hispanic drivers,48133,144.0,306.0
White drivers,48135,194.0,464.0
Black drivers,48135,38.0,82.0
Hispanic drivers,48135,348.0,885.0
White drivers,48139,238.0,559.0
Black drivers,48139,135.0,343.0
Hispanic drivers,48139,189.0,634.0
White drivers,48141,227.0,459.0
Black drivers,48141,88.0,217.0
Hispanic drivers,48141,974.0,2565.0
White drivers,48143,192.0,467.0
Black drivers,48143,13.0,33.0
Hispanic drivers,48143,48.0,139.0
White drivers,48149,108.0,205.0
Black drivers,48149,82.0,142.0
Hispanic drivers,48149,105.0,224.0
White drivers,48157,128.0,363.0
Black drivers,48157,137.0,370.0
Hispanic drivers,48157,172.0,520.0
White drivers,48161,73.0,219.0
Black drivers,48161,81.0,197.0
Hispanic drivers,48161,66.0,228.0
White drivers,48163,48.0,205.0
Black drivers,48163,12.0,46.0
Hispanic drivers,48163,240.0,1339.0
White drivers,48165,234.0,352.0
Black drivers,48165,22.0,44.0
Hispanic drivers,48165,249.0,418.0
White drivers,48167,212.0,411.0
Black drivers,48167,85.0,203.0
Hispanic drivers,48167,99.0,239.0
White drivers,48177,132.0,323.0
Black drivers,48177,44.0,139.0
Hispanic drivers,48177,124.0,547.0
White drivers,48181,105.0,473.0
Black drivers,48181,23.0,106.0
Hispanic drivers,48181,24.0,118.0
White drivers,48183,526.0,1098.0
Black drivers,48183,475.0,1059.0
Hispanic drivers,48183,135.0,376.0
White drivers,48185,221.0,481.0
Black drivers,48185,135.0,298.0
Hispanic drivers,48185,100.0,241.0
White drivers,48187,143.0,314.0
Black drivers,48187,70.0,134.0
Hispanic drivers,48187,200.0,483.0
White drivers,48189,118.0,293.0
Black drivers,48189,32.0,84.0
Hispanic drivers,48189,139.0,410.0
White drivers,48201,353.0,918.0
Black drivers,48201,420.0,1118.0
Hispanic drivers,48201,374.0,1005.0
White drivers,48203,246.0,868.0
Black drivers,48203,202.0,759.0
Hispanic drivers,48203,58.0,325.0
White drivers,48205,352.0,631.0
Black drivers,48205,30.0,47.0
Hispanic drivers,48205,91.0,233.0
White drivers,48209,202.0,549.0
Black drivers,48209,40.0,103.0
Hispanic drivers,48209,167.0,449.0
White drivers,48213,241.0,809.0
Black drivers,48213,46.0,147.0
Hispanic drivers,48213,28.0,128.0
White drivers,48215,44.0,300.0
Black drivers,48215,2.0,63.0
Hispanic drivers,48215,617.0,5724.0
White drivers,48217,172.0,615.0
Black drivers,48217,107.0,287.0
Hispanic drivers,48217,114.0,647.0
White drivers,48219,112.0,236.0
Black drivers,48219,23.0,54.0
Hispanic drivers,48219,145.0,317.0
White drivers,48221,378.0,832.0
Black drivers,48221,16.0,36.0
Hispanic drivers,48221,61.0,140.0
White drivers,48223,204.0,583.0
Black drivers,48223,149.0,397.0
Hispanic drivers,48223,56.0,330.0
White drivers,48229,46.0,129.0
Black drivers,48229,11.0,45.0
Hispanic drivers,48229,89.0,405.0
White drivers,48231,309.0,799.0
Black drivers,48231,173.0,395.0
Hispanic drivers,48231,67.0,294.0
White drivers,48245,247.0,743.0
Black drivers,48245,208.0,665.0
Hispanic drivers,48245,42.0,247.0
White drivers,48251,425.0,704.0
Black drivers,48251,23.0,58.0
Hispanic drivers,48251,73.0,197.0
White drivers,48257,414.0,941.0
Black drivers,48257,380.0,987.0
Hispanic drivers,48257,111.0,332.0
White drivers,48265,267.0,411.0
Black drivers,48265,41.0,69.0
Hispanic drivers,48265,146.0,240.0
White drivers,48273,14.0,76.0
Black drivers,48273,4.0,33.0
Hispanic drivers,48273,74.0,867.0
White drivers,48277,386.0,896.0
Black drivers,48277,85.0,206.0
Hispanic drivers,48277,31.0,88.0
White drivers,48291,275.0,551.0
Black drivers,48291,279.0,499.0
Hispanic drivers,48291,51.0,191.0
White drivers,48293,95.0,216.0
Black drivers,48293,65.0,157.0
Hispanic drivers,48293,49.0,156.0
White drivers,48303,343.0,1004.0
Black drivers,48303,100.0,269.0
Hispanic drivers,48303,428.0,1323.0
White drivers,48309,471.0,1185.0
Black drivers,48309,302.0,660.0
Hispanic drivers,48309,224.0,806.0
White drivers,48313,277.0,452.0
Black drivers,48313,209.0,341.0
Hispanic drivers,48313,104.0,250.0
White drivers,48321,118.0,196.0
Black drivers,48321,41.0,86.0
Hispanic drivers,48321,122.0,232.0
White drivers,48323,5.0,45.0
Black drivers,48323,0.0,7.0
Hispanic drivers,48323,122.0,770.0
White drivers,48325,171.0,537.0
Black drivers,48325,8.0,37.0
Hispanic drivers,48325,226.0,938.0
White drivers,48329,249.0,668.0
Black drivers,48329,65.0,181.0
Hispanic drivers,48329,329.0,1021.0
White drivers,48331,124.0,337.0
Black drivers,48331,48.0,127.0
Hispanic drivers,48331,47.0,186.0
White drivers,48337,277.0,460.0
Black drivers,48337,86.0,162.0
Hispanic drivers,48337,75.0,171.0
White drivers,48339,1995.0,4788.0
Black drivers,48339,535.0,1223.0
Hispanic drivers,48339,704.0,1724.0
White drivers,48341,336.0,632.0
Black drivers,48341,33.0,76.0
Hispanic drivers,48341,265.0,693.0
White drivers,48347,71.0,262.0
Black drivers,48347,54.0,205.0
Hispanic drivers,48347,16.0,171.0
White drivers,48349,208.0,582.0
Black drivers,48349,212.0,554.0
Hispanic drivers,48349,127.0,484.0
White drivers,48353,246.0,627.0
Black drivers,48353,104.0,242.0
Hispanic drivers,48353,163.0,490.0
White drivers,48355,46.0,105.0
Black drivers,48355,15.0,30.0
Hispanic drivers,48355,72.0,399.0
White drivers,48359,256.0,546.0
Black drivers,48359,160.0,349.0
Hispanic drivers,48359,106.0,393.0
White drivers,48361,160.0,606.0
Black drivers,48361,35.0,199.0
Hispanic drivers,48361,16.0,98.0
White drivers,48363,236.0,424.0
Black drivers,48363,83.0,129.0
Hispanic drivers,48363,99.0,229.0
White drivers,48367,566.0,1536.0
Black drivers,48367,61.0,171.0
Hispanic drivers,48367,150.0,436.0
White drivers,48371,84.0,207.0
Black drivers,48371,48.0,124.0
Hispanic drivers,48371,79.0,352.0
White drivers,48373,152.0,412.0
Black drivers,48373,67.0,200.0
Hispanic drivers,48373,14.0,127.0
White drivers,48375,193.0,424.0
Black drivers,48375,79.0,152.0
Hispanic drivers,48375,130.0,337.0
White drivers,48381,153.0,299.0
Black drivers,48381,14.0,35.0
Hispanic drivers,48381,65.0,179.0
White drivers,48391,41.0,154.0
Black drivers,48391,23.0,81.0
Hispanic drivers,48391,88.0,628.0
White drivers,48395,103.0,262.0
Black drivers,48395,38.0,134.0
Hispanic drivers,48395,37.0,124.0
White drivers,48401,256.0,584.0
Black drivers,48401,131.0,322.0
Hispanic drivers,48401,78.0,225.0
White drivers,48409,38.0,117.0
Black drivers,48409,9.0,26.0
Hispanic drivers,48409,85.0,396.0
White drivers,48415,221.0,512.0
Black drivers,48415,27.0,74.0
Hispanic drivers,48415,151.0,389.0
White drivers,48419,135.0,281.0
Black drivers,48419,64.0,171.0
Hispanic drivers,48419,29.0,131.0
White drivers,48423,702.0,1761.0
Black drivers,48423,429.0,1263.0
Hispanic drivers,48423,221.0,701.0
White drivers,48427,24.0,166.0
Black drivers,48427,3.0,35.0
Hispanic drivers,48427,530.0,4054.0
White drivers,48439,99.0,282.0
Black drivers,48439,39.0,161.0
Hispanic drivers,48439,24.0,204.0
White drivers,48449,124.0,423.0
Black drivers,48449,88.0,234.0
Hispanic drivers,48449,67.0,213.0
White drivers,48451,236.0,592.0
Black drivers,48451,34.0,84.0
Hispanic drivers,48451,174.0,541.0
White drivers,48453,422.0,1065.0
Black drivers,48453,177.0,444.0
Hispanic drivers,48453,403.0,1138.0
White drivers,48459,179.0,395.0
Black drivers,48459,48.0,102.0
Hispanic drivers,48459,44.0,89.0
White drivers,48467,415.0,1006.0
Black drivers,48467,303.0,735.0
Hispanic drivers,48467,109.0,379.0
White drivers,48469,55.0,183.0
Black drivers,48469,10.0,46.0
Hispanic drivers,48469,106.0,765.0
White drivers,48471,265.0,623.0
Black drivers,48471,224.0,548.0
Hispanic drivers,48471,99.0,304.0
White drivers,48473,361.0,824.0
Black drivers,48473,330.0,665.0
Hispanic drivers,48473,253.0,665.0
White drivers,48477,202.0,420.0
Black drivers,48477,85.0,182.0
Hispanic drivers,48477,70.0,213.0
White drivers,48479,20.0,111.0
Black drivers,48479,5.0,18.0
Hispanic drivers,48479,156.0,1513.0
White drivers,48481,86.0,164.0
Black drivers,48481,86.0,156.0
Hispanic drivers,48481,249.0,959.0
White drivers,48485,367.0,699.0
Black drivers,48485,97.0,167.0
Hispanic drivers,48485,97.0,240.0
White drivers,48489,12.0,124.0
Black drivers,48489,3.0,37.0
Hispanic drivers,48489,67.0,1783.0
White drivers,48491,434.0,1163.0
Black drivers,48491,152.0,344.0
Hispanic drivers,48491,239.0,818.0
White drivers,48497,526.0,1258.0
Black drivers,48497,110.0,239.0
Hispanic drivers,48497,171.0,444.0
White drivers,53001,180.0,658.0
Black drivers,53001,25.0,91.0
Hispanic drivers,53001,29.0,216.0
White drivers,53005,113.0,1332.0
Black drivers,53005,11.0,111.0
Hispanic drivers,53005,63.0,797.0
White drivers,53007,153.0,894.0
Black drivers,53007,5.0,19.0
Hispanic drivers,53007,50.0,355.0
White drivers,53009,114.0,971.0
Black drivers,53009,0.0,24.0
Hispanic drivers,53009,5.0,27.0
White drivers,53011,618.0,5248.0
Black drivers,53011,74.0,526.0
Hispanic drivers,53011,44.0,544.0
White drivers,53015,233.0,1535.0
Black drivers,53015,20.0,122.0
Hispanic drivers,53015,13.0,155.0
White drivers,53021,27.0,298.0
Black drivers,53021,0.0,15.0
Hispanic drivers,53021,22.0,269.0
White drivers,53025,139.0,891.0
Black drivers,53025,10.0,62.0
Hispanic drivers,53025,56.0,731.0
White drivers,53027,155.0,1241.0
Black drivers,53027,9.0,48.0
Hispanic drivers,53027,6.0,124.0
White drivers,53029,104.0,722.0
Black drivers,53029,6.0,54.0
Hispanic drivers,53029,3.0,40.0
White drivers,53033,978.0,9766.0
Black drivers,53033,296.0,2963.0
Hispanic drivers,53033,173.0,2357.0
White drivers,53035,278.0,1966.0
Black drivers,53035,35.0,248.0
Hispanic drivers,53035,6.0,130.0
White drivers,53037,501.0,1636.0
Black drivers,53037,54.0,173.0
Hispanic drivers,53037,110.0,405.0
White drivers,53041,320.0,1604.0
Black drivers,53041,24.0,140.0
Hispanic drivers,53041,17.0,168.0
White drivers,53045,356.0,1821.0
Black drivers,53045,9.0,40.0
Hispanic drivers,53045,16.0,195.0
White drivers,53047,177.0,685.0
Black drivers,53047,2.0,18.0
Hispanic drivers,53047,44.0,262.0
White drivers,53049,122.0,657.0
Black drivers,53049,2.0,13.0
Hispanic drivers,53049,7.0,42.0
White drivers,53053,590.0,7400.0
Black drivers,53053,145.0,1933.0
Hispanic drivers,53053,49.0,1129.0
White drivers,53057,353.0,2096.0
Black drivers,53057,12.0,95.0
Hispanic drivers,53057,79.0,655.0
White drivers,53061,1250.0,9955.0
Black drivers,53061,89.0,875.0
Hispanic drivers,53061,118.0,1424.0
White drivers,53063,558.0,4447.0
Black drivers,53063,31.0,298.0
Hispanic drivers,53063,28.0,195.0
White drivers,53065,60.0,673.0
Black drivers,53065,2.0,9.0
Hispanic drivers,53065,0.0,19.0
White drivers,53067,332.0,2406.0
Black drivers,53067,43.0,302.0
Hispanic drivers,53067,14.0,274.0
White drivers,53073,221.0,1485.0
Black drivers,53073,9.0,76.0
Hispanic drivers,53073,22.0,215.0
White drivers,53077,280.0,1547.0
Black drivers,53077,21.0,94.0
Hispanic drivers,53077,275.0,2244.0
White drivers,55021,358.0,561.0
Black drivers,55021,124.0,173.0
Hispanic drivers,55021,62.0,83.0
White drivers,55025,274.0,576.0
Black drivers,55025,113.0,304.0
Hispanic drivers,55025,31.0,77.0
White drivers,55033,321.0,442.0
Black drivers,55033,88.0,131.0
Hispanic drivers,55033,20.0,29.0
White drivers,55059,119.0,333.0
Black drivers,55059,70.0,215.0
Hispanic drivers,55059,30.0,104.0
White drivers,55105,162.0,439.0
Black drivers,55105,103.0,258.0
Hispanic drivers,55105,21.0,67.0
White drivers,55109,228.0,351.0
Black drivers,55109,107.0,135.0
Hispanic drivers,55109,14.0,21.0
