state,county_name,county_fips,district
IL,Mason County,17125,ILLINOIS STATE POLICE 09
IL,Massac County,17127,ILLINOIS STATE POLICE 22
IL,McDonough County,17109,ILLINOIS STATE POLICE 14
IL,McHenry County,17111,ILLINOIS STATE POLICE 02
IL,McLean County,17113,ILLINOIS STATE POLICE 06
IL,Menard County,17129,ILLINOIS STATE POLICE 09
IL,Mercer County,17131,ILLINOIS STATE POLICE 07
IL,Monroe County,17133,ILLINOIS STATE POLICE 11
IL,Montgomery County,17135,ILLINOIS STATE POLICE 18
IL,Morgan County,17137,ILLINOIS STATE POLICE 09
IL,Moultrie County,17139,ILLINOIS STATE POLICE 10
IL,Ogle County,17141,ILLINOIS STATE POLICE 01
IL,Peoria County,17143,ILLINOIS STATE POLICE 08
IL,Perry County,17145,ILLINOIS STATE POLICE 13
IL,Piatt County,17147,ILLINOIS STATE POLICE 10
IL,Pike County,17149,ILLINOIS STATE POLICE 20
IL,Pope County,17151,ILLINOIS STATE POLICE 22
IL,Pulaski County,17153,ILLINOIS STATE POLICE 22
IL,Putnam County,17155,ILLINOIS STATE POLICE 17
IL,Randolph County,17157,ILLINOIS STATE POLICE 13
IL,Richland County,17159,ILLINOIS STATE POLICE 12
IL,Rock Island County,17161,ILLINOIS STATE POLICE 07
IL,Saline County,17165,ILLINOIS STATE POLICE 19
IL,Sangamon County,17167,ILLINOIS STATE POLICE 09
IL,Schuyler County,17169,ILLINOIS STATE POLICE 20
IL,Scott County,17171,ILLINOIS STATE POLICE 20
IL,Shelby County,17173,ILLINOIS STATE POLICE 10
IL,Stark County,17175,ILLINOIS STATE POLICE 08
IL,St. Clair County,17163,ILLINOIS STATE POLICE 11
IL,Stephenson County,17177,ILLINOIS STATE POLICE 16
IL,Tazewell County,17179,ILLINOIS STATE POLICE 08
IL,Union County,17181,ILLINOIS STATE POLICE 22
IL,Vermilion County,17183,ILLINOIS STATE POLICE 10
IL,Wabash County,17185,ILLINOIS STATE POLICE 19
IL,Warren County,17187,ILLINOIS STATE POLICE 14
IL,Washington County,17189,ILLINOIS STATE POLICE 13
IL,Wayne County,17191,ILLINOIS STATE POLICE 19
IL,White County,17193,ILLINOIS STATE POLICE 19
IL,Whiteside County,17195,ILLINOIS STATE POLICE 01
IL,Will County,17197,ILLINOIS STATE POLICE 05
IL,Williamson County,17199,ILLINOIS STATE POLICE 13
IL,Winnebago County,17201,ILLINOIS STATE POLICE 16
IL,Woodford County,17203,ILLINOIS STATE POLICE 08
