"state","location_raw","county_name"
IA,"55","Kossuth County"
IA,"56","Lee County"
IA,"57","Linn County"
IA,"58","Louisa County"
IA,"59","Lucas County"
IA,"60","Lyon County"
IA,"61","Madison County"
IA,"62","Mahaska County"
IA,"63","Marion County"
IA,"64","Marshall County"
IA,"65","Mills County"
IA,"66","Mitchell County"
IA,"67","Monona County"
IA,"68","Monroe County"
IA,"69","Montgomery County"
IA,"70","Muscatine County"
IA,"71","O'Brien County"
IA,"72","Osceola County"
IA,"73","Page County"
IA,"74","Palo Alto County"
IA,"75","Plymouth County"
IA,"76","Pocahontas County"
IA,"77","Polk County"
IA,"78","Pottawattamie County"
IA,"79","Poweshiek County"
IA,"80","Ringgold County"
IA,"81","Sac County"
IA,"82","Scott County"
IA,"83","Shelby County"
IA,"84","Sioux County"
IA,"85","Story County"
IA,"86","Tama County"
IA,"87","Taylor County"
IA,"88","Union County"
IA,"89","Van Buren County"
IA,"90","Wapello County"
IA,"91","Warren County"
IA,"92","Washington County"
IA,"93","Wayne County"
IA,"94","Webster County"
IA,"95","Winnebago County"
IA,"96","Winneshiek County"
IA,"97","Woodbury County"
IA,"98","Worth County"
IA,"99","Wright County"
IL,"Abingdon Police Department","Knox County"
IL,"ABINGDON POLICE","Knox County"
IL,"ADAMS COUNTY SHERIFF","Adams County"
IL,"ADDISON POLICE","DuPage County"
IL,"ALBANY POLICE","Whiteside County"
IL,"ALBERS POLICE","Clinton County"
IL,"ALBION POLICE","Edwards County"
IL,"ALEDO POLICE","Mercer County"
IL,"ALEXANDER COUNTY SHERIFF DEPARTMENT","Alexander County"
IL,"ALEXANDER COUNTY SHERIFF","Alexander County"
IL,"ALEXIS POLICE","Warren County"
IL,"ALGONQUIN POLICE","McHenry County"
IL,"ALMA POLICE","Marion County"
IL,"ALORTON POLICE","St. Clair County"
IL,"ALPHA POLICE","Henry County"
IL,"ALSIP POLICE","Cook County"
IL,"ALTAMONT POLICE","Effingham County"
